valor_transacao,num_tentativas_24h,hora_dia,distancia_ip_km,fraude
6591.08,2,9,2657.7,0
9084.0,4,18,8221.0,0
4839.55,7,4,584.0,1
7256.85,9,21,8930.0,1
5563.01,1,4,2109.1,0
9006.75,7,18,663.4,0
6832.98,4,21,2686.5,0
1887.54,5,9,5518.8,0
3680.24,3,16,164.6,0
9619.93,6,23,2158.5,0
9583.57,9,5,3521.0,0
3852.52,9,22,4994.0,1
7751.13,4,14,3743.4,0
4077.48,5,22,1574.4,0
8921.57,2,1,1348.5,1
9012.38,1,12,9080.3,1
1625.61,5,2,261.5,1
9231.9,5,21,2123.7,0
7635.95,1,21,5424.1,1
4094.77,8,21,2712.0,1
3407.74,1,16,2633.3,0
2187.88,7,21,8285.8,1
8526.69,7,7,7501.6,1
7808.88,3,19,1844.9,0
9896.56,9,14,5499.2,1
2516.53,8,23,8250.5,0
3813.52,6,13,6115.9,1
6474.61,9,22,6478.3,1
697.36,9,7,5519.6,0
7690.37,1,11,9993.3,0
5908.57,9,8,4205.5,1
4006.95,6,16,8339.3,1
2275.56,5,1,7330.5,0
2072.55,8,6,1651.7,0
1331.94,9,21,2420.4,0
8728.64,1,16,2839.8,0
9306.89,9,8,2866.1,1
1584.51,6,11,2858.9,1
3123.07,8,10,1222.7,1
3192.17,8,15,145.1,0
1376.48,6,2,111.5,0
4476.68,3,11,6176.7,0
5617.88,3,0,9425.6,1
991.48,7,22,9775.1,1
9061.47,4,20,9171.8,0
88.48,9,7,9681.4,0
3086.38,2,8,9220.9,0
2143.17,5,5,2407.7,0
4267.04,2,0,9025.4,0
320.59,8,4,9398.2,1
9313.75,1,0,5975.0,1
5704.0,7,23,2816.1,1
4713.73,9,4,2687.1,1
7474.49,5,1,9512.4,1
8647.58,7,22,8418.7,0
6667.93,5,14,2992.1,0
8214.74,5,13,8842.5,0
5834.18,8,19,3869.5,0
1229.77,9,3,4585.4,0
8334.83,3,9,822.8,0
8065.76,6,2,4379.1,1
5068.34,6,3,2988.2,0
1093.02,8,7,3092.6,0
8467.6,8,14,5381.4,0
1709.47,4,15,3520.8,1
1594.3,3,1,9970.1,0
1263.06,1,8,478.6,0
8138.83,7,10,9714.6,1
2326.02,2,0,6742.9,0
6479.25,7,12,8580.7,1
5165.53,9,15,7468.9,1
2204.37,8,12,9784.6,1
1021.32,7,17,8976.9,0
6682.69,8,7,9507.1,1
5487.86,6,15,2636.7,1
7316.73,7,9,7725.4,1
104.0,9,5,988.6,1
2130.64,5,16,1879.7,0
6002.82,4,13,3619.0,1
773.6,6,23,6175.3,0
871.35,5,17,193.5,0
9466.26,4,4,8972.2,1
7792.47,5,17,8312.0,1
3376.38,4,11,3648.4,0
6535.74,1,2,7083.5,0
1034.48,2,18,4243.3,0
2710.82,4,6,1849.6,0
8438.6,6,8,2294.7,1
3685.12,4,20,5469.7,1
9744.05,2,12,3353.1,0
